route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
02,2,1970851,Argyle Mall via Hale & Trafalgar,,0,95524,68513,0,0
02,8402,1970951,Dundas & Highbury Only,,0,95511,68846,0,0
02,2,1970854,Bonaventure via Dundas,,0,93756,68514,0,0
02,2,1970861,Argyle Mall via Hale & Trafalgar,,0,95525,68513,0,0
02,2,1970855,Bonaventure via Dundas,,0,95528,68514,0,0
02,2,1970842,Argyle Mall via Hale & Trafalgar,,0,95522,68513,0,0
02,2,1970856,Bonaventure via Dundas,,0,95526,68514,0,0
02,2,1970863,Argyle Mall via Hale & Trafalgar,,0,95523,68513,0,0
02,8402,1970952,Bonaventure via Dundas,,0,95511,68514,0,0
02,2,1970862,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970858,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970864,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970877,Dundas & Highbury Only,,0,95528,68509,0,0
02,2,1970859,Argyle Mall via Hale & Trafalgar,,0,95522,68513,0,0
02,2,1970865,Bonaventure via Dundas,,0,95526,68514,0,0
02,2,1970860,Argyle Mall via Hale & Trafalgar,,0,95523,68513,0,0
02,8402,1970953,Dundas & Wellington Only,,0,95511,68510,0,0
02,2,1970878,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970866,Dundas & Highbury Only,,0,93756,68509,0,0
02,2,1970867,Argyle Mall via Hale & Trafalgar,,0,95525,68513,0,0
02,2,1970870,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970868,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970871,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970869,Argyle Mall via Hale & Trafalgar,,0,95524,68513,0,0
02,2,1970872,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970873,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970879,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970874,Argyle Mall via Hale & Trafalgar,,0,95522,68513,0,0
02,2,1970880,Natural Science via Dundas,,1,95526,68520,0,0
02,2,1970881,Natural Science via Dundas,,1,95523,68522,0,0
02,2,1970882,Natural Science via Dundas,,1,93756,68520,0,0
02,2,1970901,Natural Science via Dundas,,1,95525,68522,0,0
02,2,1970883,Natural Science via Dundas,,1,95528,68520,0,0
02,2,1970902,Natural Science via Dundas,,1,95522,68522,0,0
02,2,1970884,Natural Science via Dundas,,1,95526,68520,0,0
02,2,1970903,Natural Science via Dundas,,1,95523,68522,0,0
02,2,1970885,Natural Science via Dundas,,1,95527,68520,0,0
02,2,1970904,Natural Science via Dundas,,1,95524,68522,0,0
02,2,1970886,Natural Science via Dundas,,1,93756,68520,0,0
02,2,1970905,Natural Science via Dundas,,1,95525,68522,0,0
02,2,1970887,Natural Science via Dundas,,1,95528,68520,0,0
